id_pedido,id_cliente,nombre_cliente,producto,categoria,region,fecha_pedido,ingreso,cantidad,descuento,estatus
PED-1118,CLI-044,Diana Rojas,Bicicleta,Deportes,Centro,2024-09-19,2450.47,4,,completado
PED-1119,CLI-084,Monica Salas,Sueter,Ropa,Centro,2024-04-04,848.29,5,0.0,completado
PED-1120,CLI-012,Jorge Estrada,Sueter,Ropa,Centro,2024-01-08,489.78,5,0.15,completado
PED-1121,CLI-110,Ulises Perea,Sueter,Ropa,Norte,2024-11-13,88.07,,0.0,completado
PED-1122,CLI-017,Walter Cuevas,Monitor,Electronica,Centro,2024-03-14,663.89,4,,cancelado
PED-1123,CLI-037,Sergio Barrios,Bicicleta,Deportes,Centro,2024-09-19,3112.14,4,0.2,completado
PED-1124,CLI-048,Valeria Nino,Monitor,Electronica,Sur,2024-11-15,1061.9,3,0.05,completado
PED-1125,CLI-103,Quetzal Marin,Balon de futbol,Deportes,Centro,2024-06-10,189.55,3,0.1,completado
PED-1126,CLI-041,Jorge Estrada,Palo de golf,Deportes,Occidente,2024-11-03,,5,0.0,cancelado
PED-1127,CLI-076,Nestor Aguilar,Laptop,Electronica,Norte,2024-08-09,,4,0.1,completado
PED-1128,CLI-035,Irene Padilla,Monitor,Electronica,Occidente,2024-03-20,1098.23,4,0.0,completado
PED-1129,CLI-055,Ximena Gil,Sueter,Ropa,Occidente,2024-03-26,558.76,5,0.0,completado
PED-1130,CLI-093,Irene Padilla,Laptop,Electronica,Norte,2024-03-11,1839.42,4,0.0,cancelado
PED-1131,CLI-076,Marisol Vega,Lampara,Hogar,Norte,2024-08-02,212.24,3,0.15,cancelado
PED-1132,CLI-033,Valeria Nino,Sueter,Ropa,Norte,2024-10-30,182.41,2,0.0,completado
PED-1133,CLI-096,Tania Lozano,Palo de golf,Deportes,Occidente,2024-01-09,684.3,3,,completado
PED-1134,CLI-062,Jorge Estrada,Sueter,Ropa,Centro,2024-04-26,761.82,1,,cancelado
PED-1135,CLI-039,Ximena Gil,Monitor,Electronica,Occidente,2024-11-26,623.06,3,0.15,completado
PED-1136,CLI-050,Felipe Campos,Juego de sabanas,Hogar,Occidente,2024-06-28,326.68,5,0.0,pendiente
PED-1137,CLI-037,Quetzal Marin,Balon de futbol,Deportes,Norte,2024-07-05,47.95,1,0.0,completado
PED-1138,CLI-001,Karla Mendoza,Chamarra,Ropa,Occidente,2024-08-26,274.91,2,0.05,completado
PED-1139,CLI-067,Quetzal Marin,Monitor,Electronica,Occidente,2024-01-16,254.82,1,0.0,pendiente
PED-1140,CLI-048,Gabriela Nunez,Balon de futbol,Deportes,Sur,2024-07-03,,3,0.15,pendiente
PED-1141,CLI-078,Walter Cuevas,Balon de futbol,Deportes,Norte,2024-10-04,86.69,3,0.0,completado
PED-1142,CLI-022,Ulises Perea,Lampara,Hogar,Norte,2024-12-27,67.19,2,0.2,completado
PED-1143,CLI-115,Elena Quiroz,Sueter,Ropa,Occidente,2024-06-14,218.4,4,,pendiente
PED-1144,CLI-027,Ana Torres,Bicicleta,Deportes,Centro,2024-07-25,2188.05,4,0.05,completado
PED-1145,CLI-112,Sergio Barrios,Audifonos,Electronica,Centro,2024-08-14,518.74,5,0.0,completado
PED-1146,CLI-051,Diana Rojas,Palo de golf,Deportes,Norte,2024-05-20,742.86,2,0.0,completado
PED-1147,CLI-102,Luis Herrera,Balon de futbol,Deportes,Norte,2024-01-04,89.17,3,,completado
PED-1148,CLI-108,Marisol Vega,Bicicleta,Deportes,Centro,2024-06-20,1564.4,3,0.2,pendiente
PED-1149,CLI-056,Felipe Campos,Monitor,Electronica,Sur,2024-01-10,915.58,5,0.0,completado
PED-1150,CLI-012,Marisol Vega,Licuadora,Hogar,Occidente,2024-02-19,277.09,5,0.0,completado
PED-1151,CLI-042,Hector Silva,Lampara,Hogar,Sur,2024-06-01,76.22,2,,completado
PED-1152,CLI-107,Luis Herrera,Laptop,Electronica,Sur,2024-02-12,3811.24,5,0.05,completado
PED-1153,CLI-084,Pablo Duarte,Sueter,Ropa,Occidente,2024-06-10,91.13,1,0.0,pendiente
PED-1154,CLI-049,Cecilia Arce,Monitor,Electronica,Norte,2024-10-21,670.17,2,,completado
PED-1155,CLI-115,Luis Fernandez,Jeans,Ropa,Centro,2024-10-17,513.74,5,0.1,cancelado
PED-1156,CLI-016,Ximena Gil,Palo de golf,Deportes,Centro,2024-11-12,463.8,3,0.1,completado
PED-1157,CLI-046,Cecilia Arce,Jeans,Ropa,Occidente,2024-09-23,130.82,2,0.05,completado
PED-1158,CLI-040,Irene Padilla,Jeans,Ropa,Centro,2024-08-28,288.13,4,0.05,completado
PED-1159,CLI-037,Diana Rojas,Chamarra,Ropa,Sur,2024-12-19,215.93,2,,completado
PED-1160,CLI-026,Pablo Duarte,Monitor,Electronica,Occidente,2024-10-28,1998.87,5,0.0,completado
PED-1161,CLI-102,Luis Fernandez,Lampara,Hogar,Occidente,2024-12-02,171.85,3,0.1,cancelado
PED-1162,CLI-001,Marisol Vega,Audifonos,Electronica,Sur,2024-01-10,159.19,5,0.0,completado
PED-1163,CLI-069,Ximena Gil,Monitor,Electronica,Centro,2024-11-17,578.31,5,,completado
PED-1164,CLI-045,Nestor Aguilar,Sueter,Ropa,Centro,2024-10-09,300.54,5,0.0,completado
PED-1165,CLI-103,Felipe Campos,Palo de golf,Deportes,Centro,2024-12-17,1132.31,3,0.2,pendiente
PED-1166,CLI-045,Hector Silva,Licuadora,Hogar,Occidente,2024-07-25,149.61,3,0.15,completado
PED-1167,CLI-016,Carlos Bello,Licuadora,Hogar,Occidente,2024-03-21,306.07,4,0.2,completado
PED-1168,CLI-035,Damian Ortiz,Palo de golf,Deportes,Centro,2024-07-08,184.59,1,0.05,completado
PED-1169,CLI-095,Sergio Barrios,Juego de sabanas,Hogar,Norte,2024-07-31,187.69,4,0.05,completado
PED-1170,CLI-063,Olivia Ramos,Palo de golf,Deportes,Norte,2024-05-05,836.8,5,0.1,completado
PED-1171,CLI-030,Marisol Vega,Balon de futbol,Deportes,Sur,2024-12-27,181.52,5,0.2,cancelado
PED-1172,CLI-077,Gabriela Nunez,Audifonos,Electronica,Occidente,2024-07-14,546.86,5,0.05,completado
PED-1173,CLI-063,Cecilia Arce,Lampara,Hogar,Norte,2024-04-23,111.0,5,0.2,completado
PED-1174,CLI-101,Damian Ortiz,Laptop,Electronica,Centro,2024-02-26,1653.97,4,0.0,pendiente
PED-1175,CLI-119,Luis Herrera,Monitor,Electronica,Occidente,2024-04-15,1807.17,5,0.0,completado
PED-1176,CLI-023,Ulises Perea,Bicicleta,Deportes,Sur,2024-11-12,1700.07,4,0.1,completado
PED-1177,CLI-076,Carlos Bello,Juego de sabanas,Hogar,Occidente,2024-04-19,703.17,5,0.1,cancelado
PED-1178,CLI-066,Walter Cuevas,Lampara,Hogar,Centro,2024-06-25,188.86,2,0.2,completado
PED-1179,CLI-087,Marisol Vega,Jeans,Ropa,Sur,2024-09-21,121.02,2,0.05,completado
PED-1180,CLI-112,Zacarias Luna,Lampara,Hogar,Occidente,2024-03-16,789.2,1,,completado
PED-1181,CLI-005,Hector Silva,Lampara,Hogar,Norte,2024-05-09,124.7,2,0.0,cancelado
PED-1182,CLI-008,Hector Silva,Balon de futbol,Deportes,Sur,2024-07-15,121.35,5,0.15,cancelado
PED-1183,CLI-075,Damian Ortiz,Palo de golf,Deportes,Centro,2024-02-10,600.8,2,0.0,pendiente
PED-1184,CLI-028,Jorge Estrada,Chamarra,Ropa,Centro,2024-10-08,432.77,3,0.05,completado
PED-1185,CLI-020,Nestor Aguilar,Jeans,Ropa,Norte,2024-10-07,61.57,1,0.15,completado
PED-1186,CLI-021,Rocio Cabrera,Palo de golf,Deportes,Centro,2024-06-30,1469.08,5,0.0,completado
PED-1187,CLI-062,Olivia Ramos,Monitor,Electronica,Centro,2024-12-21,1131.68,3,0.0,completado
PED-1188,CLI-072,Rocio Cabrera,Jeans,Ropa,Centro,2024-12-24,210.41,4,0.05,completado
PED-1189,CLI-087,Tania Lozano,Audifonos,Electronica,Occidente,2024-11-25,387.18,5,,pendiente
PED-1190,CLI-077,Nestor Aguilar,Lampara,Hogar,Sur,2024-08-29,248.34,3,0.2,completado
PED-1191,CLI-045,Pablo Duarte,Audifonos,Electronica,Sur,2024-06-27,,5,0.05,pendiente
PED-1192,CLI-026,Luis Fernandez,Monitor,Electronica,Sur,2024-08-16,1156.25,3,0.0,completado
PED-1193,CLI-097,Diana Rojas,Licuadora,Hogar,Norte,2024-05-24,-5.0,5,0.0,cancelado
PED-1194,CLI-064,Zacarias Luna,Laptop,Electronica,Centro,2024-03-04,830.56,2,0.15,completado
PED-1195,CLI-046,Carlos Bello,Laptop,Electronica,Centro,2024-10-29,1372.22,3,0.15,completado
PED-1196,CLI-009,Carlos Bello,Sueter,Ropa,Centro,2024-10-24,63.65,1,0.05,completado
PED-1197,CLI-028,Olivia Ramos,Licuadora,Hogar,Centro,2024-09-19,288.81,5,0.0,completado
PED-1198,CLI-091,Ana Torres,Laptop,Electronica,Centro,2024-06-09,2658.76,5,0.2,completado
PED-1199,CLI-044,Olivia Ramos,Palo de golf,Deportes,Sur,2024-01-09,321.52,2,0.2,cancelado
PED-1200,CLI-120,Pablo Duarte,Chamarra,Ropa,Centro,2024-10-15,698.0,4,0.15,pendiente
PED-1201,CLI-060,Monica Salas,Juego de sabanas,Hogar,Centro,2024-10-05,29.41,1,0.1,completado
PED-1202,CLI-101,Marisol Vega,Balon de futbol,Deportes,Occidente,2024-11-05,73.0,4,,pendiente
PED-1203,CLI-090,Irene Padilla,Laptop,Electronica,Sur,2024-08-17,3999.84,5,0.2,completado
PED-1204,CLI-042,Gabriela Nunez,Monitor,Electronica,Norte,2024-03-12,1040.42,3,0.1,completado
PED-1205,CLI-081,Felipe Campos,Audifonos,Electronica,Norte,2024-03-23,436.73,5,0.15,completado
PED-1206,CLI-032,Elena Quiroz,Monitor,Electronica,Norte,2024-10-24,878.84,5,0.2,completado
PED-1207,CLI-119,Monica Salas,Jeans,Ropa,Norte,2024-10-10,217.12,2,0.15,completado
PED-1208,CLI-093,Ulises Perea,Monitor,Electronica,Centro,2024-01-02,1358.63,4,0.05,completado
PED-1209,CLI-088,Yolanda Prieto,Balon de futbol,Deportes,Norte,2024-02-21,,5,0.05,completado
PED-1210,CLI-090,Quetzal Marin,Jeans,Ropa,Centro,2024-05-29,115.03,2,0.15,completado
PED-1211,CLI-020,Monica Salas,Sueter,Ropa,Centro,2024-03-29,753.39,5,0.2,cancelado
PED-1212,CLI-030,Monica Salas,Laptop,Electronica,Norte,2024-06-19,829.14,1,0.0,completado
PED-1213,CLI-026,Cecilia Arce,Licuadora,Hogar,Occidente,2024-08-20,78.41,1,0.0,pendiente
PED-1214,CLI-033,Pablo Duarte,Jeans,Ropa,Norte,2024-05-26,188.52,4,,cancelado
PED-1215,CLI-095,Tania Lozano,Jeans,Ropa,Occidente,2024-02-28,283.66,5,0.0,completado
PED-1216,CLI-111,Pablo Duarte,Monitor,Electronica,Occidente,2024-01-19,1036.78,2,0.1,completado
PED-1217,CLI-015,Ximena Gil,Monitor,Electronica,Occidente,2024-02-08,841.76,2,0.15,completado
PED-1218,CLI-053,Luis Herrera,Lampara,Hogar,Sur,2024-10-26,684.03,5,0.1,completado
PED-1219,CLI-081,Pablo Duarte,Palo de golf,Deportes,Centro,2024-11-09,220.17,2,0.05,completado
PED-1220,CLI-095,Irene Padilla,Palo de golf,Deportes,Centro,2024-09-04,1470.52,5,0.15,completado
PED-1221,CLI-098,Cecilia Arce,Balon de futbol,Deportes,Occidente,2024-05-23,602.88,1,0.05,completado
PED-1222,CLI-077,Rocio Cabrera,Jeans,Ropa,Occidente,2024-05-30,166.52,2,0.0,completado
PED-1223,CLI-058,Bruno Cortes,Juego de sabanas,Hogar,Centro,2024-04-01,209.09,2,0.15,cancelado
PED-1224,CLI-041,Damian Ortiz,Palo de golf,Deportes,Norte,2024-01-09,506.15,2,0.2,pendiente
PED-1225,CLI-055,Karla Mendoza,Lampara,Hogar,Occidente,2024-09-30,233.99,4,0.0,completado
PED-1226,CLI-048,Quetzal Marin,Monitor,Electronica,Occidente,2024-04-04,2169.0,5,0.0,completado
PED-1227,CLI-050,Ximena Gil,Sueter,Ropa,Norte,2024-10-17,318.34,4,,completado
PED-1228,CLI-004,Luis Fernandez,Sueter,Ropa,Centro,2024-09-28,293.7,3,0.0,completado
PED-1229,CLI-003,Bruno Cortes,Monitor,Electronica,Occidente,2024-01-22,1040.59,3,0.05,completado
PED-1230,CLI-070,Ulises Perea,Laptop,Electronica,Centro,2024-12-02,2784.01,5,0.15,pendiente
PED-1231,CLI-046,Marisol Vega,Bicicleta,Deportes,Occidente,2024-02-02,620.19,1,0.0,completado
PED-1232,CLI-016,Luis Herrera,Juego de sabanas,Hogar,Occidente,2024-08-18,115.09,1,0.0,pendiente
PED-1233,CLI-085,Karla Mendoza,Sueter,Ropa,Centro,2024-01-25,261.91,4,0.0,completado
PED-1234,CLI-096,Ximena Gil,Lampara,Hogar,Centro,2024-11-03,98.85,3,0.2,completado
PED-1235,CLI-025,Jorge Estrada,Licuadora,Hogar,Norte,2024-06-14,829.23,4,0.15,pendiente
PED-1236,CLI-110,Karla Mendoza,Bicicleta,Deportes,Sur,2024-07-21,600.77,4,0.05,completado
PED-1237,CLI-075,Ulises Perea,Chamarra,Ropa,Sur,2024-08-10,562.4,4,,completado
PED-1238,CLI-054,Jorge Estrada,Monitor,Electronica,Sur,2024-06-09,1118.05,4,0.15,completado
PED-1239,CLI-116,Olivia Ramos,Monitor,Electronica,Centro,2024-01-31,936.93,2,0.1,pendiente
PED-1240,CLI-112,Elena Quiroz,Licuadora,Hogar,Norte,2024-09-26,,4,0.05,completado
PED-1241,CLI-067,Olivia Ramos,Chamarra,Ropa,Occidente,2024-07-06,,3,0.05,completado
PED-1242,CLI-022,Tania Lozano,Audifonos,Electronica,Sur,2024-06-06,143.07,3,0.1,completado
PED-1243,CLI-013,Damian Ortiz,Balon de futbol,Deportes,Norte,2024-05-26,67.17,4,0.1,completado
PED-1244,CLI-040,Diana Rojas,Sueter,Ropa,Occidente,2024-03-25,68.07,1,0.2,pendiente
PED-1245,CLI-097,Gabriela Nunez,Licuadora,Hogar,Centro,2024-05-07,379.17,3,0.0,cancelado
PED-1246,CLI-032,Carlos Bello,Sueter,Ropa,Sur,2024-07-11,302.04,4,0.15,cancelado
PED-1247,CLI-081,Yolanda Prieto,Bicicleta,Deportes,Centro,2024-12-08,3379.36,5,,completado
PED-1248,CLI-119,Damian Ortiz,Palo de golf,Deportes,Centro,2024-04-08,754.46,2,0.1,pendiente
